Go,5652
Mediterranean Avenue,27747
Community Chest,28253
Baltic Avenue,27432
Income Tax,27384
Reading Railroad,29595
Oriental Avenue,28207
Chance,28171
Vermont Avenue,28477
Connecticut Avenue,27580
Jail,27876
St. Charles Place,28912
Electric Company,33944
States Avenue,32218
Virginia Avenue,35006
Pennsylvania Railroad,39494
St. James Place,36185
Community Chest,35786
Tennessee Avenue,35534
New York Avenue,34778
Free Parking,33834
Kentucky Avenue,35675
Chance,35524
Indiana Avenue,35442
Illinois Avenue,35084
B&O Railroad,36532
Atlantic Avenue,33924
Ventnor Avenue,33380
Water Works,35903
Marvin Gardens,33971
Go To Jail,33586
Pacific Avenue,33986
North Carolina Avenue,32782
Community Chest,31528
Pennsylvania Avenue,30327
Short Line Railroad,28745
Chance,26744
Park Place,27185
Luxury Tax,27729
Boardwalk,27998

