Go,6
Mediterranean Avenue,24
Community Chest,26
Baltic Avenue,31
Income Tax,26
Reading Railroad,43
Oriental Avenue,31
Chance,29
Vermont Avenue,26
Connecticut Avenue,32
Jail,25
St. Charles Place,32
Electric Company,34
States Avenue,35
Virginia Avenue,34
Pennsylvania Railroad,41
St. James Place,32
Community Chest,31
Tennessee Avenue,32
New York Avenue,38
Free Parking,35
Kentucky Avenue,39
Chance,39
Indiana Avenue,31
Illinois Avenue,27
B&O Railroad,30
Atlantic Avenue,52
Ventnor Avenue,32
Water Works,38
Marvin Gardens,30
Go To Jail,27
Pacific Avenue,40
North Carolina Avenue,32
Community Chest,24
Pennsylvania Avenue,35
Short Line Railroad,33
Chance,27
Park Place,27
Luxury Tax,25
Boardwalk,32

