Go,540
Mediterranean Avenue,2737
Community Chest,2654
Baltic Avenue,2552
Income Tax,2638
Reading Railroad,2855
Oriental Avenue,2702
Chance,2700
Vermont Avenue,2726
Connecticut Avenue,2605
Jail,2614
St. Charles Place,2793
Electric Company,3332
States Avenue,3227
Virginia Avenue,3285
Pennsylvania Railroad,3737
St. James Place,3374
Community Chest,3580
Tennessee Avenue,3450
New York Avenue,3390
Free Parking,3357
Kentucky Avenue,3424
Chance,3396
Indiana Avenue,3442
Illinois Avenue,3429
B&O Railroad,3552
Atlantic Avenue,3238
Ventnor Avenue,3233
Water Works,3486
Marvin Gardens,3147
Go To Jail,3345
Pacific Avenue,3272
North Carolina Avenue,3133
Community Chest,3118
Pennsylvania Avenue,2877
Short Line Railroad,2729
Chance,2546
Park Place,2602
Luxury Tax,2639
Boardwalk,2737

