Go,558
Mediterranean Avenue,2806
Community Chest,2743
Baltic Avenue,2760
Income Tax,2719
Reading Railroad,2944
Oriental Avenue,2840
Chance,2802
Vermont Avenue,2796
Connecticut Avenue,2799
Jail,2778
St. Charles Place,2884
Electric Company,3421
States Avenue,3262
Virginia Avenue,3466
Pennsylvania Railroad,3921
St. James Place,3672
Community Chest,3614
Tennessee Avenue,3596
New York Avenue,3620
Free Parking,3296
Kentucky Avenue,3540
Chance,3472
Indiana Avenue,3599
Illinois Avenue,3553
B&O Railroad,3636
Atlantic Avenue,3410
Ventnor Avenue,3273
Water Works,3558
Marvin Gardens,3455
Go To Jail,3455
Pacific Avenue,3384
North Carolina Avenue,3251
Community Chest,3151
Pennsylvania Avenue,3019
Short Line Railroad,2786
Chance,2655
Park Place,2712
Luxury Tax,2655
Boardwalk,2898

