Go,6
Mediterranean Avenue,35
Community Chest,31
Baltic Avenue,22
Income Tax,29
Reading Railroad,20
Oriental Avenue,24
Chance,39
Vermont Avenue,23
Connecticut Avenue,23
Jail,25
St. Charles Place,27
Electric Company,44
States Avenue,24
Virginia Avenue,30
Pennsylvania Railroad,46
St. James Place,34
Community Chest,35
Tennessee Avenue,32
New York Avenue,38
Free Parking,25
Kentucky Avenue,43
Chance,35
Indiana Avenue,44
Illinois Avenue,28
B&O Railroad,42
Atlantic Avenue,30
Ventnor Avenue,32
Water Works,32
Marvin Gardens,31
Go To Jail,35
Pacific Avenue,32
North Carolina Avenue,32
Community Chest,30
Pennsylvania Avenue,34
Short Line Railroad,28
Chance,19
Park Place,27
Luxury Tax,25
Boardwalk,26

